Warming up the Java JIT
End Warmup Phase

   n	           u	      simple	   optimized	 %less-time	         t	       dof	         p
1024	0.6250000000	        1.61	       0.558	     65.42%	  991.4999	       189	      0.00
1024	0.7500000000	        1.40	       0.452	     67.76%	  788.8654	       197	      0.00
1024	0.8750000000	        1.21	       0.382	     68.41%	  697.6032	       189	 4.90e-324

Interpreting Above Results:
1) Negative t value implies simple version is faster.
2) Positive t value implies optimized version is faster.
3) The p column is, well, the p value.

Output to ensure can't optimize away anything: -189898756
